QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
1,0,0,0,0,0,36
2,1,8,0,5,3,47
3,5,8,2,12,4,57
4,8,22,2,19,7,47
5,18,22,8,26,12,77
6,23,42,8,36,16,88
7,30,51,9,46,38,99
8,40,62,12,53,31,110
9,52,68,17,66,34,119
10,61,94,16,71,41,130
11,93,94,38,84,74,98
12,96,117,31,96,73,152
13,117,117,39,108,53,116
14,137,140,46,119,70,123
15,156,149,51,129,89,183
16,183,163,63,143,75,192
17,223,187,87,151,100,204
18,223,204,70,165,96,215
19,246,222,75,176,95,225
20,288,236,98,192,123,236
21,333,239,123,204,123,246
22,352,271,121,218,130,256
23,384,280,132,228,145,267
24,417,297,150,241,143,277
25,419,321,119,255,203,289
26,474,335,161,270,142,210
27,559,347,222,269,224,127
28,537,373,169,295,227,320
29,572,379,167,304,246,331
30,639,408,221,317,214,242
31,674,405,227,332,271,250
32,766,428,271,342,217,256
33,782,443,275,357,203,370
34,923,454,362,366,228,275
35,872,493,277,387,275,395
36,878,525,250,403,307,405
37,1026,522,365,418,268,413
38,1048,539,345,435,330,426
39,1175,563,438,445,290,307
40,1175,595,415,459,285,317
41,1201,598,386,471,323,457
42,1204,651,369,483,346,198
43,1358,630,457,501,315,477
44,1443,629,510,523,352,484
45,1559,662,584,535,429,354
46,1386,700,361,544,461,511
47,1580,727,500,560,387,521
48,1652,717,556,577,417,526
49,1760,774,600,591,453,228
50,1804,782,643,601,442,391
51,1974,776,725,622,435,560
52,1924,823,613,636,511,574
53,2015,829,655,650,464,243
54,2057,864,697,669,479,593
55,2243,858,808,680,434,604
56,2260,884,764,694,458,614
57,2366,926,805,718,462,263
58,2469,949,832,720,476,449
59,2524,946,819,738,477,642
60,2641,957,956,751,511,656
61,2662,996,895,775,473,664
62,2638,1010,825,777,646,677
63,2860,1055,991,799,643,295
64,2873,1036,934,815,618,694
65,2958,1087,976,832,532,506
66,3195,1065,1116,854,601,720
67,3179,1116,1067,866,659,731
68,3450,1124,1282,884,578,529
69,3352,1166,1134,903,599,750
70,3422,1207,1072,917,663,759
71,3424,1231,1011,929,645,775
72,3740,1236,1332,948,622,780
73,3787,1251,1294,965,683,789
74,4086,1268,1488,979,650,804
75,4024,1298,1363,1005,615,811
76,4297,1333,1521,1008,597,823
77,4396,1306,1508,1027,686,833
78,4386,1335,1445,1045,747,848
79,4585,1353,1578,1061,836,856
80,4719,1397,1675,1089,920,867
81,4832,1442,1622,1096,868,621
82,4871,1438,1665,1106,752,889
83,4861,1462,1628,1129,772,897
84,5238,1482,1830,1137,751,902
85,5297,1494,1895,1155,759,654
86,5208,1562,1790,1180,810,928
87,5523,1562,1854,1198,805,938
